text,sentiment
Happy Star Wars Day! May the Fourth be with you.,positive
 _chick Hello,neutral
just seen 1 of the fat single Mums from up the road &quot;seductively&quot; sprawled across some poor blokes bonnet. He probably needs new shockers,negative
 http://twitpic.com/24mer - i like Mr Piggls I mean Pickles!!,positive
Going to shopping place thingie! BRB LATERZ!,neutral
At hospital.. Uncle is in surgury after heart attack,negative
_d Wish Leigh a Happy Mother's Day for me! It's midnight in NY,positive
" I'm all out of life preservers, sorry   But if it's any consolation, you're in for something really special tomorrow.",neutral
_B all the shows are sold out  so I have to wait til tomorrow or sunday...,neutral
 Meant to ask how did the other night go? Did you enjoy the fight...did yas have an all-nighter?,positive
 Is it possible to a have phobia of phobias? Afraid to look at list.,negative
 gray! .... i so feel neglected,negative
 Then what about Domina Sun Girl? I think that fits better.,positive
is envious of people not in long-distance relationships...she's all mushy with no one to cuddle.,negative
" I know, lame.",negative
 I give it 2 snaps down  how's work going?,neutral
 I do that all the time,neutral
Tactical mistake: going to the city library and buying milk. Who knew? OUCH OUCH OUCH. Maybe a good thing I didn't try for uni.,neutral
_lottie Not one of my favourite pastimes  This weekend is a long weekend here so Monday I'm off to an Ice Show w/ the G/daughter ;),positive
" You wouldnt change your fans for the world, tbh i dont think anyone would change mcfly for the world  You's are too amazing  x",positive
"JONAS was absolutely heartwarming. Now, time for bed. Goodnight!  ",positive
" Yes, we will! We should maybe do it in a DM though so we don't annoy our followers. Thought of that too late.    Good night!",positive
 Good Luck,positive
"'s going to Disney World, lucky ****.",positive
Im wishing that i had the weekend off so i can go to SOL.,positive
 my name too    (Soulja Boy Tell 'Em LIVE live &gt; http://ustre.am/2UhS),neutral
"Ugh, my internet was down!",negative
Everything is cool now. I wish the boy was able to talk.,positive
"Gone r the days wen we used to sit 4 exams.. no more exams, no more classes, no more bunking n no more fun..",negative
 http://twitpic.com/4vvou - Ok...I LOVE IT!! Melika come on do your make-up like this next time we go out,positive
just contributed to economic stimulus at Wal Mart - un expected tire replacements,neutral
went to see the dentist. can't eat and im starving. really sucks.  and ist's painful.,negative
" I didn't get a lot of sleep myself last night. And it is a good thing, reading",positive
 did you find them? Tell us how they turn out won't you! We're making blueberry pancakes this morning,neutral
 LOL.  **BLows Kiss** did u Catch it daddY ??.. neways im chillin hun and u i see u up early have u been a sleep,positive
" Oh, awesome, I have Yahooo!  Good night, sleep tight, don't let the bed bugs bite!",positive
" wow!! you really are a pretty talented lady, most impressed",positive
 I crochet Laura. Simple stitches...I can make a mean afgan!,neutral
 Defeated by a Polo,negative
Bass drum heads breaking equals bust. Who needs tickets for May 15th? You?,neutral
 anywayss to the point i am dying to spend my summer over there or somewhere hot with you guys,neutral
Another water leak in my appartement. The good side is that I get to meet the girls previous &amp; next floors,positive
is finally gotten online after logging 200km over the last two days on errands as the family driver  http://plurk.com/p/wxz12,neutral
Watching 5 children and it.  i really should be studying. I'll start soon :[,negative
Is back in sunny 95 degree weather though,neutral
Morning world! back to the office after longgggggggg weekend,neutral
" I'm still at Disney (just trained at Soarin), Rose is the same, we applied for an apartment last night, and Eric lost his job",negative
exam on active directory tomorrow.,neutral
gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral
Playing d.j in Ray's ride! On our way to have some delish sushi,neutral
Ah! Just remembered some (hopefully good) news is coming (hopefully soon) from someone I know... once again may the *happydance* commence,positive
" i would, but i don't know how to do it from the phone...",neutral
Around 3 hours left until a 3 day weekend and I have waaaay too much work to do.,neutral
 Aural goodness,positive
Is revisingg,neutral
 Hey what's up? My name is Caleb and I'm your newest follower!!!,neutral
perfect night in nj.,positive
Hey had some fun with friends !!!!!Now cleaning,positive
 I'm ready homie..actually ima be working,positive
 in the sun and changing my default icon just for you  what're your plans?,neutral
 yay!! we'll all move!! sorry dh is being Grr...  ****,negative
#FollowFriday In honor of my web buddies who moved.     ,neutral
new neighbors are moving in.... off to give my brazil presentation that i shouldve given on wed!!! but some people went overtime,neutral
_127 LOL Just remember how it was after my car accident,neutral
 Helloooo (: Star Wars day is cool  LOOL. Wen do you go to Cnaterbury then ? x,positive
" aww  i hope u find it soon i miss it. i cnt even use my cam w/o it, memory's full. plus i wanna take it 2 SA this commin weekend.",positive
watching neighbourss.,neutral
"250 miles down, only 1750 to go. Thats ok, u2 on the radio alwas helps.",positive
 Happy mother's day to Ms. Pat Carey,positive
"cannot go, cannot refused to feel the pain",negative
Got to go shopping with wife down to Tesco's. I knew my day was going to well.,positive
" Hey, where do you go last night?  Was expecting to see you @ On Broadway.",neutral
_B_Judah i am too old for Vegas,neutral
" i guess that means you didn't beta-read either of my stories, huh?",neutral
My throat hurts so bad that i dont even want to swallow my own spit.       And i officially cant talk now....,negative
 what?! Come as you are!!! But erock just left  bah D:,neutral
 omg I'm so sorry to hear that!  If you really need to talk to someone I'm always on here. I'm a shoulder you lean on,negative
"we can sail around the world, you and me baby...",neutral
"Youtube's tubes appear to be clogging up somewhat today, connection errors a plenty.",negative
I wish Joe Bidden was on the train with me.,positive
 Aw where are you headed to? i just cancelled my trip to Aussie,neutral
The case for my iPod Touch is literally falling apart.  So junk,negative
I don't feel any pressure right now...    Happy Mother's Day people...,positive
I love my hair blowin in the wind,positive
Oh.... great.  I think I'm getting sick.,neutral
Of the back of their heads  http://yfrog.com/0zywwj,neutral
"Made my first Skype to landline call.  Good call quality, quite impressed",positive
Love ice cream... Love cake... Cookies and cream ice cream cake tops them both,positive
 it's not sooo noticable it depends on how you look at it...but I know it's there and now my iPod isn't perfect,negative
 i feel that!! esp when you know u aint done the wrong  &lt;3 U!,positive
nomatter how much i sleep am still tired  either going to sleep early or late....,negative
"Have lots 2do as usual! laundry, thanking God, cleaning house, praising God, cutting the hedge and thanking and praising God some more!",positive
Got a day of painting,neutral
 ah helping my friend move and will defo be having a well deserved pint after it that's for sure,positive
 me neither,neutral
I realized last night that I have no idea where my PnS went to during the move... I hope it's not lost and gone forever,neutral
That sucks that u have 2 go through that  id b pissed 2,negative
Finally got my lil monster off my hands so I could run errands and now I gotta do them in the rain!!!,neutral
" As opposed to twitter, where all we can do is talk to people.  SL is fun. I already have way too many ways to distract myself.",positive
there's a guy in my house so i can't go downstairs with no pants,neutral
 too late!  already finished the chapter and posted it!,neutral
" Hey boys, do you wanna see my teeth? (**** it, twitter donï¿½t wanna change my picture)",neutral
 - i sure hope so  it was worth it for me too  loveu.,positive
 That sounds cool! And you're paying - even better,positive
"i have a degree,****!!! moving t o dallas in a few hours",neutral
just watching hollyoaks omg,neutral
" Thanks!!!!  Like I said on facebook, you just made me awesomely happy.  Thanks.",positive
_casagrande haha thanks. but if it keeps raining i might not go,positive
Thing always end up going bad,negative
Walking to class. I hate not having a bike....especially mine.,negative
"I had some work to do, but my wrist hurts too much to do any of it.",negative
  follow?,neutral
On the computer alllllllllllllllll day,neutral
I am sick  but Ians coming over so its all good ;),neutral
" if I do that, I'll have no pc",neutral
"I am sick, very sick, sore throat and flu",negative
" Another day and I couldn't find you.    I ended up trying another cart, can't remember their name.  'sigh'",neutral
meeting up with strangers. lol. alone in vegas. amazing.,positive
Ugh! I can't access through my mobile web!,negative
loves florida but misses her american friends,neutral
" yeah, I had a suspicion about that!! I think I'm going to come home and want to spend a ton of money on tools!",negative
"feeling better, still coughing. : / not moving on yet. its impossible.",neutral
Has that feeling like when you want to cry but you dont so you get that empty feeling in your stomach and your throat starts to hurt.,negative
"Again, No P.F. Changs for lunch    Booooo",neutral
why are plane tickets so expensive,negative
im seeing the hannah montana movie again today,neutral
 Oh cool! When is Alpha 1.18 coming out? Auto-connect was the feature I wanted to request,positive
"Justin Timberlake totally rocked SNL tonight. Ooh, and Happy Mother's Day, another Hallmark mkting tool.",positive
" That's great Bastos!  I'm happy for you. You gonna do the mabaho leg, to celebrate? haha",positive
 how sad! are you saying that I'm fat?  *tears*,negative
i was invited to one on the beach but it was too short notice i mean why the hell tell you 2hrs before?? really?,neutral
 Hey Tom. Have your plans to make an concert in Denmark this year?  please reply ****,positive
 hï¿½rlich!,neutral
 i bet so,neutral
loves my new twitter background...my two heros...wichita and kraussey!  haha,positive
 And what's your blog entry about?,neutral
"I have an awesome picture of happy pint, but it's not sending",positive
jus sittin in da libray and this stupid computer wont let me order any mac foundation,negative
 seen u a couple of times. Liked it,positive
" mostly just going to work and then update my twilight blog  basically, that's my life. Is it sleeptime for you?",neutral
"Dadgum, I think this nations shipping needs have shut down completely. still no freight for carriers out there.",neutral
or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,negative
" I know you won't keep a wild dog, or else you won't be able in the situation to use Mandriva in your life.",neutral
_AnR_Shine Feeling pretty good. You should check this out http://www.myspace.com/bigcitymonkey Just saying.,positive
" Awe Man, I hope someone turns it in",positive
 is over,neutral
"Darn it, I'm craving wedding cake... a craving that's very hard to satisfy with anything else!",negative
" It's simple for those who know how to use it hahaa, i'm glad you're okay  **** x",positive
Happy Birthday to my ****,positive
Talked with mom. Al sang a song for me again  am off to sleep now..,neutral
" sleep? I need to go to my mums but by the time I get there, Clara will be in bed",neutral
 You meanie! The one time you go to Lux and I wont be there!,neutral
I ran over a turtle.,neutral
peeling so much!!   ..I feel so bad,negative
 *bows*  I try...sometimes it is hard,negative
couldn't resist ? http://blip.fm/~5z7v3,neutral
"Really mad at myself for forgetting about the May 24 deadline for the 40,000 mile award trips to South America on ",negative
Where's my baby?!,neutral
" ew, tongue kiss",neutral
"back soon, need to run to the shops and cut the grass",neutral
  i like yours too   i enjoy your photography. =],positive
Hi CelebXXXVidsYH and AyBygW! Thanks for following,positive
everyone follow  and  ! they are amazing,positive
"_is_Rad yeah it was **** D: im so tired, i have a headache and now i have to play a game of rygby D: but ill be right  **** &lt;33",negative
 u said u was gonna follow  its nita from ur live chat,neutral
 can u follow me please,neutral
 look at your followers... your tweeps list will then be fully populated,neutral
omg 44 tweets till 8k  and only about 90 tweets difference btween b and comedyqueen,neutral
nice weather..looks like its going to rain here in # Delhi.,positive
god... im suffering greatly... having no hair + sitting in blazing sunshine = v v bad sunburn,negative
"Im regretting the alcohol I consumed last night, MY HEAD",negative
" could do, will the fact that its bank holiday make any difference? lemme check my money situation also",neutral
http://twitpic.com/67x7n - MISS THEM ALREADY,negative
_Uh_Knee,neutral
 careful the cops dont mistake you and your kids for criminals - i hear there is some indiscrimate shooting going on,neutral
 That's true.  It still sucks though 'cause I was all &quot;LOLOL I AM SO ORIGINAL--ohshit&quot; so. But yeah. Thanks!,neutral
" Good plan, Peg --plus I like the sound of &quot;Money Monday&quot;",positive
  Hi Jenna. Hope all is well   Just thinking of you and wishing you the best! Lots of love from over here in New York!!!,positive
is excited for tonight's party of ron  http://plurk.com/p/sujth,positive
feeling really dizzy  not soo good,negative
HAPPY MOTHERS DAY MOMMY!!!!,positive
"  Oh no matey, did you get ill?  It would be a bit mean of Suzi to be calling you chicken scabs if you're not!",negative
 more coffee,neutral
 love session 2 of king of queens,positive
i wish i was going to be with my ST girls tomorrow,positive
dinner was yummy and all... but i'm still super tired after all the things we went through to enroll for college.,neutral
OMG... I just learned that the little girl who played Ducky in the very first Land Before Time movie was murdered at the age of 10. WTF?,negative
My car is broken.,negative
i hate not being able to twitterize on my cell phone  oh well,negative
_west one day the hubs and I WILL take one of those. There's actually a missions cruise that we want to go on. It has music too.,neutral
That post was for ,neutral
 I'm so sorry  do you want me to call? If not I will be on aim in a couple of hours if you need to vent,negative
Have a slight headache,negative
  My Power was cut off  thats where i went,negative
is tired if ppl **** talking,negative
 Thanks 'Mckenzie',positive
Why is it so dark outside?,neutral
" have a great time in the Hamptons. Hope it's for some relaxation, not for work",positive
going camping in a coupla hours. gotta pack everything... by myself,neutral
Washing The Dishes :S iTs So hard 2 be Me,negative
Time to get educated  Hope you all are off for a great start on this Monday morning,positive
mOod. was way too much fun. lol..  I lOve to dance TEchno !!! &lt;3 ... life.lOve.stress &amp;&amp;. set backs &lt;3 gnite,positive
 jet blue is okay I guess. They cancel flights and don't have a lot of backup planes. And no first class,negative
Akh! I woke up and missed so much of Sayed Hassan's speech,negative
 yess  you?,neutral
   Oh dear - Boyle is staying ...,neutral
hope your weekend was fabulous  do anything interesting?,positive
" A towel, a &quot;Sub-Etha Sens-O-Matic&quot; and the Guide ??",neutral
 Awesome! Wish I could fly out to see her,positive
 Gotta love skype! Make sure you get their new update!,positive
 sorry i couldn't fit hal's name,negative
" HEY, BABEE. ) LOVE YOOOOUUU. &gt;&lt; RP time.",positive
 yeah ill be on verizon... so those are my two options right now...,neutral
 not there but wish I were,neutral
 Cool. You should qik some stuff from the newsroom sometime. LOL.,positive
Taping at Cox then picking up starbucks for the office bc I am so nice,positive
i am living in ignorance  :@,negative
At an art party. No crazy artists as such. Bit padestrian. No skanking,neutral
I am having the TIME of my LIFE,neutral
 http://twitpic.com/4w22u - Its so pretty! The girls must love you a whole lot  Happy bday again!,positive
 I used to row in high school and just found out there is a rowing club ten minutes away from me so I thought I should sign up,neutral
made $30 tonight watching 2 little kids swim and watch a movie!!! haha i love babysitting haha,positive
 it was jokes!!!  me love the mag..really!,positive
 Aye. Now I want cheesecake,neutral
wishes he could be with that special someone....,positive
i wish my blog was working properly - i have a great #followfriday blog post i wanted to showcase!,positive
 feeling better - did nothing yesterday but lay around.   hate i missed the youth leader polar bear swim   gotta love youth!,neutral
happy mothers day to all..im gonna help mine right now.she deserves it..you guys should too..,positive
"the scrubs finale was beautiful, just so so perfect. can't believe they're gonna do another season",positive
 Enjoy! Family trumps everything,positive
just got back from school.  SHEMMS!! Summer class has been officially ended.  http://plurk.com/p/wxsgy,neutral
great. more rain,positive
"  awwwwwww, our kitties are the BEST!",positive
 I hope to see you soon again,positive
  thanks for following!  pretty complicated id you have there lol,neutral
 nothinbg home about to jump in the shower the streets is calling meeeeeeee   what is it 4 tonight  tell m,neutral
   I'm not leaving yet!,neutral
"_2 Hey, Thanks 4 The Advice &amp; Support",positive
" cheers mate, still getting over Wednesday  You ok? You should be, you are an incredibly wealthy man",positive
"Wee laddie's been SO upset for about 2 hours. Tried soothing him in bed, nursing, etc. Nope. Up at 3:30am for real food. Blue Clues now.",negative
 http://twitpic.com/45r61 -  saddest thing i've seen a while,negative
" Hey.  I won't be coming to town this weekend, because I don't have a day off until next friday.",neutral
My stomach hurts so bad,negative
"just got up, smoking a cig and drinking coffee.. i need to start working on my final project for the univ",neutral
....yup stil at work,neutral
 Hah! Thanks.,positive
"http://twitpic.com/675u6 - Square B - she is sad because she wasn't there and now she's, well, square  (crocheted bee with poly fibe ...",negative
Happy Mothers Day to all your moms!,positive
has just booked her appointment to give blood 18:20pm 2nd June! Scared,negative
 night,neutral
Drinks &amp;&amp; din w/ Amy and Lori,neutral
... and itï¿½s FFA *evil grin* but Iï¿½m so busy at work today I wonï¿½t get anything done,negative
playing board games!!!,neutral
" Haha dude, we have the same b-date :p I'll wish u ur b-day the 3oth November. I'll also turn 16  Can u reply to me please ?",positive
"This is the best E-commerce site, I hope you've watched the big bang theory. http://www.pennyblossoms.com/ Please hit &quot;buy now&quot;",positive
is problem free for now.  atleast i already said to that person the truth.,positive
" its like a little adventure, only Im kinda worried about her, and I cant take the bus to where she is cos my oyster is broken",negative
_d he's a lucky baby. He has a wonderful family  do u know when u could take him at home?,positive
Its times like these that I miss Manila. I'm not feeling up to myself lately,negative
says I'm tutoring my cousin!  http://plurk.com/p/rpp57,neutral
" Hey, I didn't get any !!!",neutral
Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss'd!,positive
Well - looks like Hurdle is out.,neutral
transcribing my tenth (and last) report for the night,neutral
" I love old school horror movies more, I got Elvira tattooed on my back",positive
" congratulations, you two are so well suited   have a lovely day x",positive
Jeff &amp; I are looking for long lasting love! Just not with each other we both like Men,positive
"urgh, i really hate that medicine",negative
oh what a night love me some aces,positive
 now if I still lived that way you could pop in and see me  but I don't so you can't,neutral
"well, having looked at my bruv's exam timetable and french oral exam I feel very fortunate  now to, erm, digest my morning revision...",positive
"i thought follow friday was about gaining new friends, not losing them.",neutral
", ahhhhhhh so excited for july 21 (: ecxept stupid australia won't get it til like decembbberrrrrrrr  but stilll ahhh! congratss.",positive
K now I'm really going to bed even tho I ain't tired  night! &lt;3,neutral
My attempts at writing tonight seem to be failing.,negative
I work in one hour,neutral
 I hate that Costco always costs us so much money,negative
just finished eating,neutral
At the orthodontisssttt,neutral
 I wish I couldn't wrap my head around it  Hopefully it'll wake up some people that say/think &quot;racism doesn't exist anymore&quot;,positive
 Morning babe!  I plan on overdoing it today! lol Hope you do rest &amp; put your feet up! xxxx,positive
 unless you're gretel killeen apparently. you did look pretty **** good,positive
" I'd have responded, if I were going",neutral
Greys Anatomy is so fuckn awesome atm!!,positive
Roasting to most probably death,negative
"Popping out to see SAMSON AND DELILAH this arvo, hear it is good",positive
"Had to come in, was baking out there and have slight headache now",negative
watching because i said so! happy mothers day!,positive
" hahahaha nice. i gave up on bio cos idk what the hell i'm doing, so hello chem",negative
"BARA, ****, CLOSETS, ADVENTURE. AGGGHHHH ENOUGH! Muak mcm baby Gary ku sudah",neutral
has decided NOT TO GO TO UNI TODAY!  http://plurk.com/p/su0yr,neutral
not looking forward to dress shopping tomorrow. so afraid there's no way i'll be able to get what i want,negative
i wanna go vivid light walk,neutral
"  great pic,have to upload my pix tomo,I've no laptop tonight.",positive
 Where were you on Wed night?,neutral
  aw her latest &quot; selenagomezLast day of shooting... Goodbye Canada. &quot;,neutral
 I love finding regional groups of Twitterers! Glad I could connect you with a few new people,positive
Done at the spa   now meeting vic for some late lunch!,neutral
and this stupid wireless wont work downstairs,negative
" awh, thats not good,   get better soon!",negative
 me too. I hate my computer so much..,negative
_PaulEvans heyyyyy boo,neutral
 and to you too!!!!,neutral
tafe was actually quite good. for once,positive
 Obviously not too bad,negative
 I heard your moving to Sydney next year im not happy,negative
 why yes ... a bag of goodies  lol,positive
"I'm back. top molar extracted  swollen face, all numb.  But no more toothache or sinus pain.",neutral
 I wanna be drinking at the pub,neutral
hoping to hear from you all soon,positive
 awe thanks,positive
 ment to be doing hw but not going to happen!!! Ill pray for tia!  Rose is in the shower so sh.. http://bit.ly/VMv6U,neutral
Writing some mild and wild articles,neutral
 ok that's subtly saying i'm no longer a fave  temme 1 thing - did the firangs steal your vocab? ur eating words and how!,neutral
" the mind plugs work, but the patent got turned down b/c someone already thought of earplugs and benedryl",neutral
 I did wake up but i appear to have missed you by not much!,negative
such.a.tease.,neutral
" And so very you.  You know I say it w/ nothing but love, dude.",positive
 it was apparently a request by the guests,neutral
Wish I was @ wembley,positive
" i did, thanks laura",positive
The fine old British tradition of chilly grey drizzle on a Bank Holiday is still observed,neutral
Stood outsiden got the WORST butterflies everrrrr!,negative
"Cougar Privacy Threatened as Surveillance Increases  http://bit.ly/ayViO - sorry, couldn't help myself with this one",negative
"_**** :O really  well if u want, we can go 2gether next yr?",neutral
just got home from the show opening.  fantastic. thanks to everyone who came out,positive
 that's why you are visiting alllllll the time next year.. It will never be the same though,neutral
A very exciting week,positive
Victor drew Hannah Montanna in my yearbook.hahaha. I'm going to miss my 2nd per SO much,neutral
This has been a dismal week.,negative
 will be following you tomorrow!!  sleep well,positive
Stupid alarm!! LOL Morning Twiits.....,negative
"  Well I hope you have had a good weekend and even more so have a good day at work 2moro its already monday here,so far so good",positive
Chilling with some tv quite bored at the moment,negative
Happy Mother's Day to the tweetin' mamas  Nite tweeple!,positive
"laptop pooped. new harddrive needed? using DH's old pc now. maybe offline a while  **** BSOD!! happened too many times, Safe Mode only now",negative
ah just finished making tea for tomorrow night,neutral
happy mother's day to all moms out there...,positive
Happy Mother's Day to all the mothers out there!!,positive
gonna go outside with my daddy... gonna take a ride with his new triumph!,neutral
"May have to work Saturday   I want to just rewrite it properly over the weekend, but bosses may say just get it working now.",neutral
  not even a little bit biKnightual  (ha ha... tweedeck doesn't see the spelling problem with BK....ha!) but love it anyway.,neutral
good job!,positive
 I was going to but I'm siiiick  I'm so mad!!!! Jason said I have to recover fully before I go paintballin again! Are u playing?,negative
(bye) plurk out muna. will be back when im done reading the book  http://plurk.com/p/rq9c7,neutral
not really in the twitter mood today... i don't know what to do,neutral
Writing Mother's Day cards for my mom and gran...  hurray!,positive
signed up for broadband today could take 4-6 weeks,neutral
" I hope u enjoyed it and your back is now feeling much more better  God,its 1:20am...heading to bed  God..too late..good night",positive
wishing i could go to CaBo tonight,positive
"Finally watched the rest of The Guild Season 2. I always feel so sorry (and hopeful at the same time) for your char, ",negative
Our Quinn puppy got a sick.,negative
 Awh I forgot you had the pox  Hope you get better soon!,positive
@__Jazz__  nope. Back to 8weeks .... *sigh*,neutral
"grr!  i hate being **** near forced to go places.  especially to sit on a bus for an entire day just to sit in a house in podunktown, va",negative
Is in serious pain.,negative
has a really really itchy eye,negative
Wishing I could kidnap  from work,neutral
Is waiting for sumone to come online,neutral
wishes all you moms a happy &amp; blessed Mother's Day!,positive
 who you snugglin with Tila???,neutral
  How about we play tomorrow?,neutral
"Just changed my car tires, cost me a bomb.",negative
"Looks like rain again  Oh well, it will give me a chance to work on a new crochet pattern I have in the works.",positive
 boo you didnt answer my text,neutral
 That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though,positive
 YA I JUST GOT A TWITT FROM SOMEBODY SAYIN IT LOOKS LIKE ITS GONNA RAIN OUT HERE ON THE WEST COAST..I AINT BEEN OUTSIDE YET.,neutral
 WE Quite Like Worthing its a relaxing place with nice coffee shops and fresh air.. and not too many Oiks,positive
Fell off the wagon and had a Maccy's!!,neutral
 Ok then have a good day,positive
 Thank you so much!  Have a fantastic day!,positive
"  Is competition around the corner? if not take it slow for at least a week. Twisted my ankle back in jc, awfully painful.",negative
white-water rafting in the tripics,neutral
Took some phogs,neutral
im gonna fail this test miserably in history,negative
"Just funny sitting here with external keyboard, mouse, and macbook on bed  just looks strange but it's comfortable",positive
 Don't leave forever! We'll miss you too much,negative
"Wow, such a crazy night of ever changing emotions! I liked it tho",positive
 Listened to Eyes on Fire and enjoyed it.  Thanks,positive
 always good to see you - even in cyberspace,positive
fuming over ebay purchase gone bad. outta $45 and have nothing to show for it  %$&amp;!,negative
 not funny,negative
 Thanks! and to you as well!,positive
"Good morning, everyone!",positive
" Got tickets for your gig in Glasgow, gutted we have to wait til November though",neutral
Off to work now apparently sun shining not a valid excuse to stay home,neutral
 Why aren't you at blue martini with me??,neutral
 He needs to go back to his Scotty. That is what he was using when he won last year,positive
  Does anyone update the photowalkingutah google calendar with photowalks?  Looks like I've missed a few,neutral
FOOOOOD  yummy so. whose washing the dishes now ? NOT ME ! not i ..    rofl,positive
 At least you're getting closer to normal bedtime. Enjoy your trip. Keep us updated. Sweet dreams,positive
Writing my Music Lit final paper on Mozart's Eine kleine nashtmusik. Mom is giving me a hand...and I'm actually having a GREAT time,positive
I saw a squirrel get hit by a car while walking to bart this morning...wondering if there was anything I could have done.,neutral
 that video was funny  i'm just signing up now and i'll vote for you!!  x,positive
" decent Australian guys are hard to find...trust me, you're better off with an American one",neutral
"BOOYA!! Sup Tweeps!? Happy inFAMOUS day to you all, off to get it very soon. Can't wait to play, need to find some more time though",positive
never expected to hear Beastie Boys in a Star Trek movie... was a super great flick though. *pew peww* -- (phasers),positive
   Thank you soooo much!!!      Bella,positive
 Too bad.,negative
hollie steel on bgt was absolutely excruciating to watch...poor girl.,negative
 I've had to do laundry for the last two days,neutral
" That's what's up hah. I'm great, thanks  Just waiting for all the craziness to take off.",positive
A little bit of good news.,positive
" ooo Growl and Yummy time coming soon for you too huh oh yeah, I have been hunting for a combo tshirt, think I can find one?  NO",neutral
None of the people I talk to in my P.E. class are here  I'm going to be so bored all period.,negative
"on myyearbook, myspace, here and messenger",neutral
my knee hurts!,negative
thats my moan for the day,neutral
 didn't have my camera with me  totally regretting it now!,negative
" no I won't honey I got mad yrs to go , why am I crazy?",negative
" Hello, you are sooo awesome!! Dont ever stop what your doing haha, You make me fall off my chair laughing  x",positive
 did you really just call me Ma'am...wow that was the reality check of the day  lol,positive
Wishing  a Happy Mothers Day,positive
" Yeah, I think you're hyper enough girly.",neutral
 http://twitpic.com/4jk42 hey Gi! look at this pic of you and frankie that i took at the southend gig!,neutral
" I don't use it, but I heard that PowerShell is nice",positive
"  Yeah, I only drank a little bit anyways. It definitely was the show and not the drink!!",neutral
" i think in the end, remembering the poetry and feeling behind something is far more important than the name.",positive
 Darn. No bacon,negative
  you are disappointing me......,negative
" yeh still have the weekend, but I get weekends anyways, today is my full last day of vacation time",neutral
thinks his haircut isnt as bad as it looked yesterday.....  - still bad tho!,negative
missed the #jonaswebcast,neutral
 you should.,neutral
 where were u?  (via ) - Meetings...,neutral
_thomas if only the drinking game was tonight...I don't have to work till 5 tomorrow,neutral
 i know so lame,negative
_of_Twtr Beautiful!,positive
 sorryyy milerz that i can't vote i would love to vote but it doesn't works i'm sad  and very frustraded  :@ :@ --__--,negative
So I just failed my second year of med school. I don't know what to do or say.,negative
 say hi to Kimba for me,neutral
I do NOT feel good today,negative
" Yay, three followers! Good to know more than one person in this big wide world likes fishies.",positive
"I need to go to ATL, mainly just to go to Ikea.  The stuff I want isn't available online.",neutral
"  i'm having tuna &amp; noodles thing, smashed potato cakes &amp;......?   Winksy says hi.",neutral
" Well, thanks for thinking of me! And if you ever do get the scratch for one, well, I'm right here!",positive
Hats off to a slightly unexpected yet very successful end to a grouling day!!! Night all,positive
  i want alexis bledel back on screen every thursday night,neutral
And it stopped raining.  Fuckingtastic! ),negative
"_nexus he has to have a new suitcase, but he is just so bloody indecicive, everytime he wants to buy something it takes HOURS",negative
 Well thank you.,positive
"Its prob cuz I don't really like sleeping in late, even if I tried.",negative
 Do you not like turtles?,neutral
 boooo!!! I bet it was a nice wallet too,positive
 Lovely profile + website! Very neat... love the &quot;where is gary&quot; ticker!,positive
 http://twitpic.com/4nbx4 - great photo! bravi! we are looking forward for the upcoming pilot in Italy too,positive
 oh yes. There was no feasts left,neutral
 I prefer overcast days too. Sorry it's hot where you are.,neutral
_henrie i would still rather be in your shoes instead in bed bc i work from 10-9 tommorow. i love cold weather.,positive
"Only 8 oral left!  then I have to learn them all but oh welllll, at least I don't have to write them",neutral
 That's just how babies are  Their little rhythms are still in sinc with when they were inutero.,neutral
 or maybe start your own Arabic teaching podcast?,neutral
 took my computer in for a new dvd drive &amp; screen wouldn't come back on  Had to order new computer &amp; wait...,neutral
3rd day of pain,neutral
 a buff guy.....unfortunatly alot of people dont know Danny's name either which is sad   Sophie is so sweet,neutral
 and sorry that sounded like a 13 year old texting!!! Just tried TweetShrinking built into Tweed Deck  Just another cool feature.,neutral
 How are you today!?,neutral
 Ahhhh....  The the wonderful 8-Track adaptor.,positive
is taking the dog to the vet then a play date with Annabelle,neutral
 cant believe tila tequila was in ct and i didnt know... so upset,negative
1 day to my Birthday !,neutral
  *waves to make it all OK again*,positive
 prolly E71... I can't think of anything else and I'm unfortunately not a Singtel customer,negative
the beginning of Cater 2 U always gets to me,neutral
i just woke up and remembered theres no school!!! life is good  xxxxxx,positive
No free ice cream though,negative
" I'm not sure.  Btw, YAY FOR WICKED TICKETS! That's awesome! When are you going?",positive
 hmm so late. Well its early for me.. HA,neutral
 Yay! I am not the only Eurovision fan on twitter  #eurovision2009,positive
"is at my grandma's place with my mum, celebrating mothers' day in 3 generations. The 4th will come",positive
miss my hubby already!,negative
  ah you say the nicest things,positive
I just got home.  i bought twiggies and a toothbrush that promises to make my teeth 60% cleaner. - http://tweet.sg,positive
love to but  already got plan  going to queen mary !,positive
Today is check in day for week 12 of the Artist's Way! Hurray time to celebrate another good completed journey.,positive
Law week is gonna go the **** off  SO EXCITED,positive
 Wow. That's looks really good. I wish I had some. Was it good?,positive
 and guess what ! ive got 20 % ! wow its impossible,negative
 *bows* glad to be of service,positive
